molecule_chembl_id,canonical_smiles,activity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50,activityclass,index_x,value_x,property_x,scaffold_train_test_label_x,random_train_test_label_x,index_y,value_y,property_y,scaffold_train_test_label_y,random_train_test_label_y
,Brc1cccc(Br)c1N(Cc1cccs1)C1=NCCN1,,,,,,,,6841.0,-0.1,logd,test,train,,,,,
,Brc1cccc(N(CC2CC2)C2=NCCN2)c1Br,,,,,,,,4160.0,-0.41,logd,test,train,,,,,
,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,,,,,,,,,,,,,14508.0,6.176,solubility,train,train
,Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,,,,,,,,,,,,,14505.0,5.041,solubility,train,train
,Brc1cccc(OCCCCCN2CCSC2)n1,,,,,,,,,,,,,6603.0,5.4639,solubility,train,train
,Brc1cccc2ccccc12,,,,,,,,,,,,,2378.0,4.65,solubility,train,test
,Brc1ccccc1,,,,,,,,504.0,2.99,logd,train,train,,,,,
,Brc1ccccc1CNCC1CCC(CNCc2ccccc2Br)CC1,,,,,,,,,,,,,3256.0,1.1003,solubility,train,test
,Brc1ccccc1N(CC1CC1)C1=NCCN1,,,,,,,,5472.0,-1.3,logd,test,train,,,,,
,Brc1cccnc1OCCCCCN1CCSC1,,,,,,,,,,,,,6601.0,5.4639,solubility,train,train
,Brc1cccnc1OCCCCCNCCSSCCNCCCCCOc1ncccc1Br,,,,,,,,,,,,,3113.0,-0.3417,solubility,train,train
,Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1,,,,,,,,10010.0,4.11,logd,train,train,,,,,
,Brc1cnc(OCCCCCCN2CCSC2)c(Br)c1,,,,,,,,,,,,,4284.0,3.6177,solubility,test,train
,Brc1cnc(OCCCCCNCCSSCCNCCCCCOc2ncc(Br)cc2Br)c(Br)c1,,,,,,,,,,,,,3049.0,-3.0011,solubility,train,test
,Brc1cnc2ccccc2c1,,,,,,,,8470.0,3.03,logd,train,train,,,,,
,C#C/C(C)=C/CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,,,,,,,,,,,,,5362.0,4.6649,solubility,train,train
,C#CC(C)(C)NC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1,,,,,,,,,,,,,7435.0,5.9819,solubility,train,train
,C#CC(C)(C)NC(=O)OCC(C)(CCC)COC(N)=O,,,,,,,,,,,,,6743.0,5.5673,solubility,train,test
,C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],,,,,,,,10011.0,3.0,logd,train,train,,,,,
,C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O,,,,,,,,,,,,,8048.0,6.333,solubility,train,train
,C#CC(C)(O)c1ccccc1,,,,,,,,,,,,,10221.0,7.8073,solubility,train,train
,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,,,,,,,,,,,,,2574.0,5.1,solubility,train,train
,C#CC(C)NCc1ccccc1,,,,,,,,,,,,,10205.0,7.7971,solubility,train,train
,C#CC(C)OC(=O)CCC(=O)O,,,,,,,,,,,,,11461.0,9.7691,solubility,train,train
,C#CC(C)OC(=O)Nc1cccc(Cl)c1,,,,,,,,,,,,,2593.0,6.381449999999999,solubility,train,train
,C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,,,,,,,,10012.0,3.59,logd,test,train,,,,,
,C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1,,,,,,,,,,,,,3418.0,1.9116,solubility,test,train
,C#CC(OC(=O)NC1CCCCCC1)(c1ccc(F)cc1)c1ccc(F)cc1,,,,,,,,,,,,,3292.0,1.3406,solubility,train,train
,C#CC(OC(N)=O)(c1ccccc1)c1ccc(Cl)cc1,,,,,,,,,,,,,4133.0,3.4283,solubility,train,train
,C#CC(OC(N)=O)c1ccccc1,,,,,,,,,,,,,9441.0,7.1627,solubility,train,train
,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,,,,,,,,,,,,,2710.0,3.34,solubility,train,train
,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C,,,,,,,,,,,,,2863.0,4.43,solubility,train,train
,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,,,,,,,,,,,,,12940.0,4.25,solubility,train,test
,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,,,,,,,,,,,,,2635.0,3.491875,solubility,train,train
,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,,,,,,,,,,,,,2706.0,4.7,solubility,train,train
,C#CC1(O)c2ccccc2CCc2ncccc21,,,,,,,,,,,,,6146.0,5.1978,solubility,train,train
,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,,,,,,,,,,,,,2862.0,4.206666666666667,solubility,train,train
,C#CC1(OC(N)=O)CCCCC1,,,,,,,,,,,,,9467.0,7.1747,solubility,train,train
,C#CC1=CC(C)(C)N(C)C(C)(C)C1,,,,,,,,,,,,,9460.0,7.1713,solubility,train,train
,C#CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,,,,,,,,,,,,,14108.0,6.882,solubility,train,train
,C#CCC(NC(=O)OC(C)(C)C)C(=O)NCC(=O)OC,,,,,,,,,,,,,14200.0,7.546,solubility,train,train
,C#CCC1(OC(N)=O)CCCCC1,,,,,,,,,,,,,7665.0,6.1165,solubility,train,train
,C#CCCCCOc1ccc2c(c1)NC(=O)CC2,,,,,,,,8515.0,1.6,logd,test,train,,,,,
,C#CCCCCOc1ccc2cc(-c3ccc(OC)cc3)c(=O)oc2c1,,,,,,,,4340.0,4.3,logd,train,train,,,,,
,C#CCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,,,,,,,,3059.0,2.5,logd,test,train,,,,,
,C#CCCCCOc1ccc2cc(C(=O)c3ccc(OC)cc3)c(=O)oc2c1,,,,,,,,2488.0,3.5,logd,test,test,,,,,
,C#CCCCCOc1ccc2oc(=O)c(NC(C)=O)cc2c1,,,,,,,,4341.0,2.4,logd,test,test,,,,,
,C#CCCCOc1ccc2cc(C(=O)c3ccc(OC)cc3)c(=O)oc2c1,,,,,,,,1258.0,3.1,logd,test,test,,,,,
,C#CCCOCN1C=CC(=C[NH+]=O)C=C1,,,,,,,,,,,,,11349.0,9.6185,solubility,train,test
,C#CCCOCN1C=CN(C)/C1=C/[NH+]=O,,,,,,,,,,,,,11345.0,9.6132,solubility,test,train
,C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,,,,,,,,211.0,3.0,logd,train,train,,,,,
,C#CCN(C(=O)N(CCCl)N=O)C1CCCCC1,,,,,,,,4195.0,-0.42,logd,train,train,,,,,
,C#CCN(C(=O)NCCCl)C1CCCCC1,,,,,,,,2743.0,0.15,logd,train,train,,,,,
,C#CCN(C)C(C)Cc1ccccc1,,,,,,,,10013.0,2.16,logd,train,test,8702.0,6.7033,solubility,train,train
,C#CCN(C)C1CCc2ccccc21,,,,,,,,,,,,,9287.0,7.0565,solubility,train,train
,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,,,,,,,,,,,,,6724.0,5.5559,solubility,train,train
,C#CCN(C)Cc1ccccc1,,,,,,,,,,,,,10350.0,8.519,solubility,train,train
,C#CCN(C1=NCCN1)c1c(Br)cccc1Br,,,,,,,,3701.0,-0.18,logd,train,train,,,,,
,C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,,,,,,,,10014.0,2.8,logd,train,train,,,,,
,C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,,,,,,,,10015.0,3.2,logd,train,train,,,,,
,C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,,,,,,,,,,,,,5646.0,4.8624,solubility,train,test
,C#CCN1C(=O)Cc2ccccc2S1(=O)=O,,,,,,,,,,,,,9907.0,7.5041,solubility,train,test
,C#CCN1C(=O)c2ccccc2CS1(=O)=O,,,,,,,,,,,,,9381.0,7.1142,solubility,train,train
,C#CCN1CCC(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)CC1,,,,,,,,,,,,,237.0,7.2807,solubility,train,train
,C#CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(OC)cc13,,,,,,,,,,,,,5841.0,4.9795,solubility,train,train
,C#CCNC(=O)/C(C)=C(/C)c1ccccc1,,,,,,,,,,,,,7515.0,6.029,solubility,train,train
,C#CCNC(=O)/C(C)=C(\C)c1ccccc1,,,,,,,,,,,,,7514.0,6.029,solubility,train,test
,C#CCNC(=O)OCC(C)(CC)COC(N)=O,,,,,,,,,,,,,9258.0,7.0356,solubility,train,test
,C#CCNC(=O)OCC(C)(CCC)COC(N)=O,,,,,,,,,,,,,8392.0,6.5135,solubility,train,train
,C#CCNC(=O)OCC(C)(CCCC)COC(N)=O,,,,,,,,,,,,,7456.0,5.9914,solubility,train,train
,C#CCNC(=O)OCC(C)(CO)C(C)CC,,,,,,,,,,,,,8311.0,6.4721,solubility,train,train
,C#CCNC(=O)OCC(C)(COC(N)=O)C(C)C,,,,,,,,,,,,,10268.0,7.8745,solubility,train,train
,C#CCNC(=O)OCC(C)(COC(N)=O)C(C)CC,,,,,,,,,,,,,7558.0,6.0552,solubility,train,train
,C#CCNC(=O)OCC(CC)(CCCC)COC(N)=O,,,,,,,,,,,,,6609.0,5.4704,solubility,train,train
,C#CCNCC(O)COc1c(C(C)C)ccc(C)c1C(=O)OC,,,,,,,,,,,,,7966.0,6.2908,solubility,train,train
,C#CCNCC(O)COc1c(C(C)C)ccc(C)c1C(=O)OCC,,,,,,,,,,,,,7077.0,5.7693,solubility,train,test
,C#CCNCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,,,,,,,,1865.0,0.5,logd,test,train,,,,,
,C#CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1,,,,,,,,,,,,,7356.0,5.9514,solubility,train,train
,C#CCOC1(c2ccccc2)CN(C)CCO1,,,,,,,,,,,,,9852.0,7.4596,solubility,test,train
,C#CCOCN1C=CN(C)/C1=C/[NH+]=O,,,,,,,,,,,,,11367.0,9.6389,solubility,test,train
,C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,,,,,,,,6451.0,4.0,logd,train,train,,,,,
,C#CCOc1ccc(CC(=O)NO)cc1,,,,,,,,,,,,,9540.0,7.238,solubility,train,train
,C#CCOc1ccc(CC(=O)NO)cc1Cl,,,,,,,,,,,,,8248.0,6.4373,solubility,train,train
,C#CCOc1ccc(N)cc1C(=O)NCCCC,,,,,,,,,,,,,8194.0,6.407,solubility,train,train
,C#CCOc1cnc(/C(F)=C/c2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,,,,,,,,7960.0,3.1,logd,train,train,,,,,
,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,,,,,,,,7329.0,2.2,logd,train,train,,,,,
,C#CCSC(CC)(CC)C(N)=O,,,,,,,,,,,,,9275.0,7.0481,solubility,train,train
,C#CC[C@@H](C(=O)N[C@@H](/C=C/C(=O)OCC)C[C@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,,,,,,,,10016.0,1.75,logd,test,train,,,,,
,C#CC[NH+]1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,,,,,,,,,,,,,6709.0,5.5451,solubility,train,train
,C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,,,,,,,,10017.0,3.96,logd,test,train,,,,,
,C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,,,,,,,,10018.0,3.16,logd,test,train,,,,,
,C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,,,,,,,,10019.0,3.4,logd,train,train,,,,,
,C#CCn1nc(/C=C/c2ccc(OC)cc2)oc1=O,,,,,,,,,,,,,1635.0,4.8814,solubility,train,train
,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,,,,,,,,,,,,,5076.0,4.43,solubility,train,test
,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,,,,,,,,,,,,,4077.0,3.34,solubility,train,train
,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(O)[C@H]3CC[C@@]21C,,,,,,,,,,,,,5079.0,4.43,solubility,train,train
,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,,,,,,,,,,,,,4181.0,3.49,solubility,train,test
,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,,,,,,,,,,,,5402.0,4.7,solubility,test,train
,C#C[C@H](C)N(C)C(=O)Nc1ccc(Cl)cc1,,,,,,,,,,,,,6008.0,5.1,solubility,train,train
,C#C[C@H](C)OC(=O)Nc1cccc(Cl)c1,,,,,,,,,,,,,8137.0,6.38,solubility,train,train
,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,,,,,,,,,,,,,5133.0,4.4771,solubility,train,test
,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,,,,,,,,,,,,,4998.0,4.815225,solubility,train,train
,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,,,,,,,,,,,,,4461.0,4.293200000000001,solubility,train,train
,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,,,,,,,,,,,,,4135.0,3.4313,solubility,train,train
,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,,,,,,,,,,,,,3857.0,2.9851,solubility,test,train
,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,,,,,,,,,,,,,3455.0,2.0161,solubility,train,train
,C#C[C@]1(OC(=O)CCCCCC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,,,,,,,,,,,,,3288.0,1.2988,solubility,train,train
,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,,,,,,,,,,,,,4827.0,4.21,solubility,train,train
,C#Cc1cc2cc(C(=O)N3CCc4cc(CN(C)C)ccc4C3)n(C)c2cn1,,,,,,,,7515.0,1.2,logd,train,train,,,,,
,C#Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,,,,,,,,5618.0,2.2,logd,train,train,,,,,
,C#Cc1ccc2c(c1)-c1nc(C)ncc1Cc1c(C(=O)OCC)ncn1-2,,,,,,,,4261.0,2.68,logd,test,train,,,,,
,C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1,,,,,,,,10020.0,0.92,logd,train,train,,,,,
,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,,,,,,,10021.0,3.35,logd,train,train,,,,,
,C#Cc1ccnc(C#Cc2ccc3ncn(-c4ccnc(N)n4)c3c2)n1,,,,,,,,9647.0,2.8,logd,train,test,,,,,
,C(#Cc1n[nH]c2ccccc12)c1ccccc1,,,,,,,,10022.0,4.31,logd,train,test,,,,,
,C(/C=C/C=C/N(Cc1ccccc1)Cc1ccccc1)=[N+](Cc1ccccc1)Cc1ccccc1,,,,,,,,,,,,,6163.0,5.2085,solubility,train,train
,C(/C=C/C=C/N1CCCCCCC1)=[N+]1CCCCCCC1,,,,,,,,,,,,,8107.0,6.3621,solubility,train,test
,C(/C=C/C=C/N1CCCCCCCC1)=[N+]1CCCCCCCC1,,,,,,,,,,,,,6348.0,5.3232,solubility,train,train
,C(/C=C/C=C/N1CCOCC1)=[N+]1CCOCC1,,,,,,,,,,,,,11279.0,9.5103,solubility,train,train
,C(=C/c1c(-c2ccccc2)nc2sccn12)\c1ccncn1,,,,,,,,10023.0,3.4,logd,train,train,,,,,
,C(=C/c1cccc(/C=C/c2ccccc2)n1)\c1ccccc1,,,,,,,,,,,,,3714.0,2.7237,solubility,train,train
,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,,,,,,,2570.0,5.68,logd,train,train,7995.0,6.3086,solubility,test,test
,C(=C/c1ccccc1)\c1ccccc1,,,,,,,,,,,,,3991.0,3.2097,solubility,train,train
,C(=C/c1nc2ccccc2n2cccc12)\c1ccccc1,,,,,,,,5803.0,4.84,logd,test,train,,,,,
,C(=C/c1nn[nH]n1)\c1ccccc1,,,,,,,,10024.0,-0.4,logd,train,train,,,,,
,C(=CC=[N+]1CC=CC1)C=CN1CC=CC1,,,,,,,,,,,,,11289.0,9.5218,solubility,train,test
,C(=CC=[N+]1CCC(c2ccccc2)CC1)C=CN1CCC(c2ccccc2)CC1,,,,,,,,,,,,,5237.0,4.5604,solubility,test,test
,C(=CC=[N+]1CCCC1)C=CN1CCCC1,,,,,,,,,,,,,11189.0,9.3703,solubility,train,test
,C(=CC=[N+]1CCCCC1)C=CN1CCCCC1,,,,,,,,,,,,,10664.0,8.4374,solubility,train,train
,C(=CC=[N+]1CCN(c2ccccc2)CC1)C=CN1CCN(c2ccccc2)CC1,,,,,,,,,,,,,8183.0,6.4018,solubility,train,train
,C(C=CN1CCCc2ccccc21)=C/C=[N+]1\CCCc2ccccc21,,,,,,,,,,,,,5286.0,4.6072,solubility,train,train
,C(COCCOCC1CO1)OCCOCC1CO1,,,,,,,,,,,,,11317.0,9.5812,solubility,train,train
,C(C[N+]12CCC(CC1)CC2)OCC[N+]12CCC(CC1)CC2,,,,,,,,,,,,,11047.0,9.261,solubility,test,train
,C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,,,,,,,,,,,,,7685.0,6.1263,solubility,train,train
,C/C(=C(\CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,,,,,,,,,,,,,3324.0,1.5333,solubility,train,train
,C/C(=C(\CCOC(=O)c1ccccc1)SS/C(CCOC(=O)c1ccccc1)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,,,,,,,,,,,,,3328.0,1.5691,solubility,test,train
,C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,,,,,,,,,,,,,6597.0,5.4609,solubility,test,test
,C/C(=C\C(=O)N1CCc2c(Cl)c(O)c(O)c(Cl)c2C1)c1ccc(C(F)(F)F)nc1,,,,,,,,3183.0,3.5,logd,test,train,,,,,
,C/C(=C\C(=O)O)C1CCCCC1,,,,,,,,,,,,,7022.0,5.7341,solubility,train,train
,C/C(=C\c1ccccc1)CC(=O)O,,,,,,,,,,,,,7905.0,6.2536,solubility,train,train
,C/C(=C\c1ccccc1)[N+](=O)[O-],,,,,,,,,,,,,7580.0,6.0661,solubility,train,train
,C/C(=N/NC(=O)c1ccncc1)C(=O)O,,,,,,,,,,,,,6937.0,5.6836,solubility,test,test
,C/C(=N/O)c1cccc(OCC(O)C[NH+]2CCN(c3ccccc3)CC2)c1,,,,,,,,,,,,,5299.0,4.6169,solubility,train,train
,C/C(=N\NC(=O)c1ccncc1)c1ccco1,,,,,,,,,,,,,6317.0,5.3062,solubility,train,train
,C/C(=N\c1ccccc1)Nc1ccccc1,,,,,,,,,,,,,5131.0,4.4712,solubility,test,train
,C/C(C(=O)N(C)C)=C(/C)c1ccccc1,,,,,,,,,,,,,7645.0,6.1018,solubility,train,train
,C/C(C(=O)N(C)C)=C(\C)c1ccccc1,,,,,,,,,,,,,7646.0,6.1018,solubility,train,train
,C/C(C(=O)NC(C)C)=C(\C)c1ccccc1,,,,,,,,,,,,,6495.0,5.4033,solubility,train,train
,C/C(C(=O)NC1CC1)=C(/C)c1ccccc1,,,,,,,,,,,,,6669.0,5.5139,solubility,train,train
,C/C(C=[N+]1CCCCCC1)=C\C=C\N1CCCCCC1,,,,,,,,,,,,,8919.0,6.8337,solubility,train,train
,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-][C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n6cnc7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O,,,,,,,,,,,,,9162.0,6.9648,solubility,train,train
,C/C1=C\[C@@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,,,,,,,,2375.0,6.7,logd,train,train,,,,,
,C/C1=C\[C@@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)C[C@@H](O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C1=O,,,,,,,,2016.0,6.7,logd,train,train,,,,,
,C/C1=C\[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,,,,,,,,2126.0,7.4,logd,train,train,,,,,
,C/C=C(/C(=O)NC(N)=O)C(C)C,,,,,,,,,,,,,9921.0,7.5172,solubility,train,train
